AphiaID,scientificnameaccepted
117328,Bougainvillia muscus
117364,Campanularia hincksii
117368,Clytia hemisphaerica
117379,Laomedea angulata
117388,Obelia geniculata
117644,Hydractinia echinata
117870,Abietinaria abietina
117890,Hydrallmania falcata
117913,Sertularia cupressina
125537,Gobiidae
126795,Callionymus reticulatus
127387,Syngnathus acus
468026,Alcyonidioides mytili
51,Mollusca
985,Sabellidae
1078,Ostracoda
1080,Copepoda
1131,Isopoda
1276,Tardigrada
1806,Echinodermata
1820,Enteropneusta
2078,Gastrotricha
101060,Kinorhyncha
101063,Priapulida
101368,Aoridae
101634,Orchomenella
101665,Abludomelita
101896,Ampelisca diadema
102061,Unciola planipes
102367,Gammaropsis nitida
102466,Leucothoe procera
102470,Leucothoe spinicarpa
103894,Pelonaia corrugata
106414,Cyclopinidae
106437,Cyclopina
106544,Metacyclopina brevisetosa
110465,Cumopsis goodsir
115168,Paramesochridae
115188,Ameira
115195,Leptomesochra
115201,Parevansula
115203,Proameira
115209,Sarsameira
115210,Sicameira
115220,Arenopontia
115278,Evansula
115280,Stenocaris
115297,Pseudomesochra
115306,Bulbamphiascus
115327,Stenhelia
115330,Arenosetella
115333,Ectinosoma
115336,Halectinosoma
115345,Pseudobradya
115371,Heterolaophonte
115379,Paralaophonte
115394,Leptastacus
115396,Minervella
115397,Paraleptastacus
115420,Leptopsyllus
115484,Tisbe
115517,Ameira longipes
115530,Ameiropsis brevicornis
115533,Ameiropsis mixta
115541,Filexilia brevipes
115589,Proameira hiddensoensis
115597,Pseudameira crassicornis
115603,Pseudameira perplexa
115615,Sarsameira parva
115621,Sicameira leptoderma
115723,Canuella perplexa
115768,Cletodes limicola
115797,Strongylacron buchholtzi
115811,Cylindropsyllus laevis
115812,Cylindropsyllus remanei
115815,Evansula pygmaea
115820,Stenocaris kliei
115836,Danielssenia typica
115870,Pseudomesochra longifurcata
115905,Amphiascoides subdebilis
115930,Bulbamphiascus imus
115938,Haloschizopera bulbifer
115950,Haloschizopera pygmaea
115970,Paramphiascella vararensis
115972,Paramphiascopsis longirostris
115978,Protopsammotopa norvegica
115980,Psammotopa phyllosetosa
115984,Pseudamphiascopsis herdmani
116041,Ectinosoma melaniceps
116048,Ectinosoma tenuipes
116067,Halectinosoma curticorne
116074,Halectinosoma gothiceps
116076,Halectinosoma herdmani
116140,Pseudobradya minor
116146,Pseudobradya pulchella
116162,Euterpina acutifrons
116217,Asellopsis intermedia
116259,Laophonte cornuta
116278,Laophonte thoracica
116289,Paralaophonte brevirostris
116320,Pseudonychocamptus koreni
116322,Pseudonychocamptus proximus
116333,Arenocaris bifida
116337,Leptastacus laticaudatus
116346,Paraleptastacus espinulatus
116347,Paraleptastacus holsaticus
116359,Leptopontia curvicauda
116370,Longipedia helgolandica
116371,Longipedia minor
116375,Longipedia scotti
116409,Apodopsyllus littoralis
116412,Apodopsyllus spinipes
116438,Paramesochra mielkei
116561,Dactylopusia tisboides
116648,Tachidiella minuta
116650,Tachidiopsis cyclopoides
116700,Zosime typica
116806,Scottopsyllus (Intermediopsyllus) intermedius
116839,Pseudameira mixta mixta
116858,Arenosetella germanica germanica
116861,Pseudobradya beduina beduina
116871,Heterolaophonte stroemii stroemii
116886,Diarthrodella secunda secunda
116887,Kliopsyllus constrictus constrictus
116894,Paramesochra helgolandica helgolandica
124850,Ophiocten affinis
129241,Caulleriella
129249,Tharyx
129439,Pholoe
129625,Spio
130631,Eulalia mustela
130655,Mystides southerni
130682,Protomystides exigua
130754,Harmothoe antilopes
130977,Polyphysia crassa
131116,Dipolydora caulleryi
131159,Prionospio malmgreni
138552,Thyasira
139903,Vitreolina philippi
140377,Montacuta substriata
146469,Abyssoninoe hibernica
146984,Hypereteone lactea
149916,Sarsameira exilis
150105,Halectinosoma sarsii
157723,Stenhelia gibba
292684,Acari
347109,Emertonia
349205,Beatricella aemula
349407,Bradya scotti
349410,Bradya typica
352826,Leptomesochra eulitoralis
352830,Leptomesochra tenuicornis
357058,Amphiascus parvulus
359891,Paraleptastacus spinicaudus
365663,Emertonia coelebs
366423,Vermicaris minuta
478336,Atherospio guillei
534122,Rhizothrix
534160,Emertonia paraholsatica
549166,Glabrotelson
582525,Paralaophonte congenera congenera
590790,Laophonte longicaudata longicaudata
724242,Halectinosoma chrystali
724247,Emertonia holsatica holsatica
729901,Wellsopsyllus (Wellsopsyllus) gigas
729905,Wellsopsyllus (Scottopsyllus) minor
745863,Normanella mucronata mucronata
867492,Hermania scabra
228,Astartidae
103059,Bathyporeia gracilis
103228,Urothoe elegans
110869,Cellaria
111250,Scrupocellaria scruposa
111358,Pyripora catenularia
111878,Lagotia viridis
117195,Nemertesia
117401,Calycella gracilis
117736,Lovenella clausa
118278,Gnathiidae
129246,Dodecaceria
129346,Clymenura
129363,Rhodine
130284,Clymenura lankesteri
130294,Euclymene oerstedii
130322,Praxillella affinis
130360,Nephtys hystricis
130452,Aponuphis bilineata
130585,Paradoneis lyra
130987,Ditrupa arietina
131157,Prionospio fallax
131168,Pseudopolydora paucibranchiata
131508,Nicolea zostericola
136037,Aspidosiphon (Aspidosiphon) muelleri
136060,Nephasoma (Nephasoma) minutum
138223,Modiolus
140366,Epilepton clarkiae
150648,Campanulina pumila
196002,Syllis parapari
326587,Aricidea (Acmira) laubieri
326605,Aricidea (Aricidea) wassi
336485,Chaetozone zetlandica
525497,Aricidea (Acmira) cerrutii
1059649,Centraloecetes striatus
55,Polyplacophora
104,Scaphopoda
113,Patellidae
149,Buccinidae
152,Turridae
154,Cephalaspidea
156,Retusidae
175,Onchidorididae
194,Tergipedidae
211,Mytilidae
213,Pectinidae
214,Anomiidae
235,Tellinidae
243,Veneridae
801,Chlorophyta
852,Rhodophyta
900,Terebellida
903,Paraonidae
913,Spionidae
919,Cirratulidae
922,Arenicolidae
923,Maldanidae
943,Sigalionidae
946,Hesionidae
981,Ampharetidae
983,Trichobranchidae
